"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 02:27:41 UTC 2023","Tue Aug 08 02:27:41 UTC 2023","55","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Tue Aug 08 04:12:47 UTC 2023","Tue Aug 08 04:12:49 UTC 2023","1635","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Tue Aug 08 04:12:33 UTC 2023","Tue Aug 08 04:12:43 UTC 2023","9944","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Tue Aug 08 03:18:09 UTC 2023","Tue Aug 08 03:18:30 UTC 2023","21332","","9. Client Portal - Home","","","","1. Check links",""
"passed","Tue Aug 08 02:49:21 UTC 2023","Tue Aug 08 02:49:56 UTC 2023","34677","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Aug 08 03:04:54 UTC 2023","Tue Aug 08 03:04:54 UTC 2023","668","","6. Company Account","","","","9. Review Final Review",""
"passed","Tue Aug 08 02:42:54 UTC 2023","Tue Aug 08 02:43:23 UTC 2023","28679","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Aug 08 02:27:08 UTC 2023","Tue Aug 08 02:27:41 UTC 2023","33469","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Aug 08 02:36:28 UTC 2023","Tue Aug 08 02:36:32 UTC 2023","3337","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Aug 08 02:28:02 UTC 2023","Tue Aug 08 02:28:33 UTC 2023","31444","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Tue Aug 08 03:04:37 UTC 2023","Tue Aug 08 03:04:51 UTC 2023","13930","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Tue Aug 08 03:28:05 UTC 2023","Tue Aug 08 03:28:06 UTC 2023","1314","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Tue Aug 08 04:48:26 UTC 2023","Tue Aug 08 04:48:30 UTC 2023","3814","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Tue Aug 08 03:03:50 UTC 2023","Tue Aug 08 03:04:12 UTC 2023","21562","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Aug 08 02:31:37 UTC 2023","Tue Aug 08 02:31:44 UTC 2023","6470","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Tue Aug 08 02:59:00 UTC 2023","Tue Aug 08 02:59:21 UTC 2023","20871","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Aug 08 03:00:44 UTC 2023","Tue Aug 08 03:00:48 UTC 2023","4698","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Aug 08 03:27:07 UTC 2023","Tue Aug 08 03:27:19 UTC 2023","11788","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Aug 08 03:27:19 UTC 2023","Tue Aug 08 03:27:48 UTC 2023","28715","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Tue Aug 08 03:36:01 UTC 2023","Tue Aug 08 03:36:03 UTC 2023","2161","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Aug 08 04:09:27 UTC 2023","Tue Aug 08 04:09:36 UTC 2023","9698","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Tue Aug 08 02:39:21 UTC 2023","Tue Aug 08 02:39:22 UTC 2023","520","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"skipped","Tue Aug 08 02:27:51 UTC 2023","Tue Aug 08 02:27:51 UTC 2023","5","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Tue Aug 08 04:59:58 UTC 2023","Tue Aug 08 05:00:00 UTC 2023","1283","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Aug 08 03:51:35 UTC 2023","Tue Aug 08 03:51:38 UTC 2023","3413","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue Aug 08 03:44:06 UTC 2023","Tue Aug 08 03:44:09 UTC 2023","2493","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue Aug 08 02:53:46 UTC 2023","Tue Aug 08 02:53:51 UTC 2023","4999","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Aug 08 03:00:19 UTC 2023","Tue Aug 08 03:00:44 UTC 2023","24453","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Tue Aug 08 03:32:18 UTC 2023","Tue Aug 08 03:32:40 UTC 2023","22522","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Aug 08 03:04:12 UTC 2023","Tue Aug 08 03:04:17 UTC 2023","4899","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Aug 08 02:36:20 UTC 2023","Tue Aug 08 02:36:28 UTC 2023","8326","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Tue Aug 08 02:30:22 UTC 2023","Tue Aug 08 02:30:28 UTC 2023","5110","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Aug 08 02:39:22 UTC 2023","Tue Aug 08 02:39:33 UTC 2023","11575","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Tue Aug 08 03:32:44 UTC 2023","Tue Aug 08 03:32:45 UTC 2023","565","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue Aug 08 02:49:56 UTC 2023","Tue Aug 08 02:50:05 UTC 2023","8784","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Aug 08 02:53:51 UTC 2023","Tue Aug 08 02:55:10 UTC 2023","78596","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Tue Aug 08 04:12:32 UTC 2023","Tue Aug 08 04:12:33 UTC 2023","660","","20. Admin Portal - Check details","","","","3. Check panels existence",""
